ID,page,time,look_tel,look_information
epbv8b4p7ilkkm04gltr4qkjfnoajso4,684854,"2020-08-20 00:05:29",0,0
4hlt7oh3ueqv9b5dqdhbj717rf904q4t,630531,"2020-08-20 00:11:34",0,0
der25u94ochumpn5avnj5nsa54knprd0,327583,"2020-08-20 00:00:01",0,0
25202,770129,"2020-08-20 00:00:01",0,0
42463vt735fue1f6jn54a4h74ppo4abj,709060,"2020-08-20 00:00:04",0,0
oavm79cqrauv11bp552caedvpk314hbb,547259,"2020-08-20 00:00:04",0,0
nskf3cep0jpbdoqevqulv2tbe1sks2u7,606982,"2020-08-20 00:00:05",0,0
055532vvuem9q7t4uvtev3b7okncnh9f,641194,"2020-08-20 00:00:05",0,0
u3bqpvh11hvs16qlttk9j7deothvi2pt,769749,"2020-08-20 00:00:05",0,0
non17e2gp6amhf0ftq8lr1c1nu37uq65,539133,"2020-08-20 00:00:05",0,0
q6u590rk9kakc62ggtbtu83ebrl4bode,243561,"2020-08-20 00:00:06",0,0
div7jhfidgvqnjvi6shv5rf5q6lcasmb,687535,"2020-08-20 00:00:06",0,0
d9ukd732fauoe0luv22ukkj43sj3ib7u,743532,"2020-08-20 00:00:08",0,0
kv0ir9k707cemb38odq26otpruhg2cjf,766365,"2020-08-20 00:00:09",0,0
lnofi22cscc4jkre1dcrna3ldhl8rqak,594051,"2020-08-20 00:00:10",0,0
tjlng11qpjugv6mtvuobk6gvpudm2s7c,327406,"2020-08-20 00:00:10",0,0
t1gfs31omks59j720vk4b56dcvp0aa6f,503247,"2020-08-20 00:00:11",0,0
d7q2l4pka1i7j0heuphkstntr96v5osu,718869,"2020-08-20 00:00:11",0,0
qu3anvk999vq8tf5bn3kksjqc5pppnra,769698,"2020-08-20 00:00:13",0,0
qrmc97td2la4klljd65und3m313shdk1,664762,"2020-08-20 00:00:14",0,0
ket2a94tm1rqdl5du24oqiqtj1gv4vtj,602231,"2020-08-20 00:00:15",0,0
jma0nlbvnule1m5bqsk2fuika23jecct,661823,"2020-08-20 00:00:16",0,0
179kltcv4535rmn9rso11sna91u4lt98,605065,"2020-08-20 00:00:16",0,0
irhl1bto6p4n2djj611q8e0363jajbh3,651964,"2020-08-20 00:00:19",0,0
kvutf5j16n0m6gu816kg8rcpb9rh79vl,600828,"2020-08-20 00:00:21",0,0
4oaok29j05ovkkktrvrr917pll283mps,678487,"2020-08-20 00:00:22",0,0
lk23dlduu8ecsqatbtqt62bnb5egvkoe,296026,"2020-08-20 00:00:23",0,0
ct5db92qpmoi5duncj4f7can5li41kl9,767373,"2020-08-20 00:00:23",0,0
gk9vch0qqt2g6257g4bhd61ald4rum4q,734346,"2020-08-20 00:00:25",0,0
5e4r5pllv4ueivk2lr3fia0aabimdrq7,769252,"2020-08-20 00:00:25",0,0
oqbin5ogsf1kjhbja8ugbfnvf8iujk7l,709747,"2020-08-20 00:00:26",0,0
keu0osot2h65krn9j3pchecsalu30si7,640145,"2020-08-20 00:00:27",0,0
0vfns1he1lmde21i6v902o9mqaaq54op,682344,"2020-08-20 00:00:28",0,0
jplug1r1vn2m4dsgrndfl68vm07i4led,322096,"2020-08-20 00:00:29",0,0
ebja819j8b8sqvnqd1u3cvuq9d38f2hc,288416,"2020-08-20 00:00:36",0,0
9aepopaj4ft8c3uiil0ps190d91dolt2,688828,"2020-08-20 00:00:37",0,0
9t5s3o7o649tgubiv5i15g40cn1v157p,680989,"2020-08-20 00:00:37",0,0
hpl73f5q4il71k8mpr5nucl996of39k9,553613,"2020-08-20 00:02:16",0,1
ncs97vb453gpndkrkp9s6ogqstk9n2g0,658038,"2020-08-20 00:00:43",0,0
gcss7oakfdhmlcqfdl55g28dttrqttjh,699906,"2020-08-20 00:00:44",0,0
vp8je47fr4co2hv5ci6r69qna4jbh4ig,650820,"2020-08-20 00:00:45",0,0
sljka247ce31e9mpb82vuqeumv1b4978,769526,"2020-08-20 00:00:45",0,0
e0cvvf5avcpsr02bisj21mr52g0akbop,769741,"2020-08-20 00:00:48",0,0
andj1f7sringo8s4d07t2q2cg2qu19sf,216874,"2020-08-20 00:00:50",0,0
0hcdeifpj0n52jas6cb5chlc3eb6i4ss,770119,"2020-08-20 00:00:52",0,0
vtkn6olr56pp666elepbka2qi8iitc9k,697933,"2020-08-20 00:00:52",0,0
1gatbnikla4inafr9aaltjtiu6h9i9pc,732729,"2020-08-20 00:00:52",0,0
5bhq5cdhgdvoctqv38jrf8qll1jaohmh,769738,"2020-08-20 00:00:54",0,0
agbgepcg948era0r0di6aatatbomea1e,607923,"2020-08-20 00:00:57",0,0
dkc8pol3u9jpeht7et818imt3d4d3uka,327796,"2020-08-20 00:01:00",0,0
03nsrqg0g26mu3nhr209s32lvuididcg,769169,"2020-08-20 00:01:00",0,0
s4keqa8r2oefp3dqnmjvhkn58fq05rjb,769738,"2020-08-20 00:01:03",0,0
4fliluc0ca703g1tl3j4lh6joaabdjtm,735176,"2020-08-20 00:01:15",0,0
ead6gqao6tuvf31foobl4e6cchi9khgp,769749,"2020-08-20 00:01:18",0,0
2a8mm4283t9bdnhib5k9djtl1vrs0gns,240223,"2020-08-20 00:01:19",0,0
4ric0is2lp432366k5f8d9an480dver9,617917,"2020-08-20 00:01:20",0,0
uttc2kfju05t6od74fkfs9phsnoojduq,734156,"2020-08-20 00:01:25",0,0
14467,770131,"2020-08-20 00:01:31",0,0
vh0m36mccgilg6h6q9mqeft2mjj18qud,306860,"2020-08-20 00:01:33",0,0
74cjq1j9efcnol7dj707lrl2a7fh9uie,243745,"2020-08-20 00:01:33",0,0
eesphh6fi91nvlhmgb6rr32j6e6vrh1j,769654,"2020-08-20 00:01:47",0,0
0hpcdlh6icig73nq20mdov1u5ol7hunc,769512,"2020-08-20 00:01:58",0,0
po2vljc2dqb88lun0c01slj47bkc1vug,769742,"2020-08-20 00:02:02",0,0
mp1v2rad3pvjql9hkdqsbchk3a5i4vr0,765315,"2020-08-20 00:02:19",0,0
f23hkllr91a7erhnnph52rhpnndvjf8f,761181,"2020-08-20 00:02:23",0,0
ufs3vfcaonrvtadbfbahqvbtchico6rj,769169,"2020-08-20 00:02:30",0,0
u09b48nvlf5v3rij6jequm9ogjhrihst,708933,"2020-08-20 00:02:32",0,0
jqmrim848uo08e67pce13sfksu1oa02t,769752,"2020-08-20 00:02:33",0,0
tik8bs59pbic4crmd6ngalvpigtoqhqv,679669,"2020-08-20 00:02:34",0,0
26312,770095,"2020-08-20 00:02:39",0,0
rdupg8ojmqqgb8qpop9niafvla5agras,769733,"2020-08-20 00:02:39",0,0
0ko54252rs28p5cijlf3ku0njkhrpkln,688828,"2020-08-20 00:02:42",0,0
d49j7pgpvr74pmgqidl1ak5qt8luurs5,770095,"2020-08-20 00:02:43",0,0
