district_id,district_th,amphur_id,amphur_th,province_id,province_th
1,พระบรมมหาราชวัง,1,เขตพระนคร,1,กรุงเทพมหานคร
2,วังบูรพาภิรมย์,1,เขตพระนคร,1,กรุงเทพมหานคร
3,วัดราชบพิธ,1,เขตพระนคร,1,กรุงเทพมหานคร
4,สำราญราษฎร์,1,เขตพระนคร,1,กรุงเทพมหานคร
5,ศาลเจ้าพ่อเสือ,1,เขตพระนคร,1,กรุงเทพมหานคร
6,เสาชิงช้า,1,เขตพระนคร,1,กรุงเทพมหานคร
7,บวรนิเวศ,1,เขตพระนคร,1,กรุงเทพมหานคร
8,ตลาดยอด,1,เขตพระนคร,1,กรุงเทพมหานคร
9,ชนะสงคราม,1,เขตพระนคร,1,กรุงเทพมหานคร
10,บ้านพานถม,1,เขตพระนคร,1,กรุงเทพมหานคร
11,บางขุนพรหม,1,เขตพระนคร,1,กรุงเทพมหานคร
12,วัดสามพระยา,1,เขตพระนคร,1,กรุงเทพมหานคร
13,ดุสิต,2,เขตดุสิต,1,กรุงเทพมหานคร
14,วชิรพยาบาล,2,เขตดุสิต,1,กรุงเทพมหานคร
15,สวนจิตรลดา,2,เขตดุสิต,1,กรุงเทพมหานคร
16,สี่แยกมหานาค,2,เขตดุสิต,1,กรุงเทพมหานคร
18,ถนนนครไชยศรี,2,เขตดุสิต,1,กรุงเทพมหานคร
20,กระทุ่มราย,3,เขตหนองจอก,1,กรุงเทพมหานคร
21,หนองจอก,3,เขตหนองจอก,1,กรุงเทพมหานคร
22,คลองสิบ,3,เขตหนองจอก,1,กรุงเทพมหานคร
23,คลองสิบสอง,3,เขตหนองจอก,1,กรุงเทพมหานคร
24,โคกแฝด,3,เขตหนองจอก,1,กรุงเทพมหานคร
25,คู้ฝั่งเหนือ,3,เขตหนองจอก,1,กรุงเทพมหานคร
26,ลำผักชี,3,เขตหนองจอก,1,กรุงเทพมหานคร
27,ลำต้อยติ่ง,3,เขตหนองจอก,1,กรุงเทพมหานคร
