en,th,latitude,longitude
On nut,สถานีอ่อนนุช,13.705668,100.6010127
Phra Khanong,สถานีพระโขนง,13.7151921,100.5912387
Ekkamai,สถานีเอกมัย,13.7196166,100.58501059999999
Thong Lo,สถานีทองหล่อ,13.7242182,100.5785465
Phrom Phong,สถานีพร้อมพงษ์,13.7304195,100.5697784
Asok,สถานีอโศก,13.737071400000001,100.560388
Nana,สถานีนานา,13.7405628,100.55546340000001
Phloen Chit,สถานีเพลินจิต,13.743089999999999,100.5487043
Chit Lom,สถานีชิดลม,13.7440592,100.5431092
Siam,สถานีสยาม,13.7455964,100.5342096
Ratchathewi,สถานีราชเทวี,13.7519483,100.5316025
Phaya Thai,สถานีพญาไท,13.756963500000001,100.5338904
Victory Monument,สถานีอนุสาวรีย์ชัยสมรภูมิ,13.7628539,100.5371091
Sanam Pao,สถานีสนามเป้า,13.772623199999998,100.542098
Ari,สถานีอารีย์,13.779755800000002,100.5446193
Saphan Khwai,สถานีสะพานควาย,13.7938407,100.5497047
Mo Chit,สถานีหมอชิต,13.8024339,100.5537307
National Stadium,สถานีสนามกีฬาแห่งชาติ,13.746495300000001,100.52909190000001
Ratchadamri,สถานีราชดำริ,13.7395206,100.53950429999999
Sala Daeng,สถานีศาลาแดง,13.728585199999998,100.5344295
Chong Nonsi,สถานีช่องนนทรี,13.723942000000001,100.5293334
Surasak,สถานีสุรศักดิ์,13.719301300000001,100.5216166
Saphan Taksin,สถานีสะพานตากสิน,13.718845300000002,100.5142057
Krung Thonburi,สถานีกรุงธนบุรี,13.7209221,100.5027902
Wongwian Yai,สถานีวงเวียนใหญ่,13.721156599999999,100.4952452
Pho Nimit,สถานีโพธ์นิมิตร,13.719324800000003,100.4859647
Talat Phlu,สถานีตลาดพลู,13.714319199999998,100.4767245
Bang Chak,สถานีบางจาก,13.6968315,100.605323
Punnawithi,สถานีปุณณวิถี,13.689341899999999,100.6089976
Udom Suk,สถานีอุดมสุข,13.6799157,100.6094885
Bang Na,สถานีบางนา,13.6682087,100.6046605
Bearing,สถานีแบริ่ง,13.661265599999998,100.6018496
Wutthakat,สถานีวุฒากาศ,13.7131337,100.46889250000001
Bang Wa,สถานีบางหว้า,13.720882999999999,100.45773179999999
Hua Lamphong,สถานีหัวลำโพง,13.7376967,100.516448
Sam Yan,สถานีสามย่าน,13.7327828,100.5287433
Si Lom,สถานีสีลม,13.7295154,100.536704
Lumphini,สถานีลุมพินี,13.726128099999999,100.5449008
Khlong Toei,สถานีคลองเตย,13.7224177,100.55371459999999
Queen Sirikit National Convention Centre,สถานีศูนย์ประชุมแห่งชาติสิริกิตติ์,13.7237049,100.5602539
Sukhumvit,สุขุมวิท,13.738634,100.561628
Phetchaburi,สถานีเพชรบุรี,13.748493599999998,100.56331690000002
Phra Ram 9,สถานีพระราม 9,13.757747699999998,100.565334
Thailand Cultural Centre,สถานีศูนย์วัฒนธรรมแห่งประเทศไทย,13.7673921,100.5711436
Huai Khwang,สถานีห้วยขวาง,13.779005599999998,100.5736864
Sutthisan,สถานีสุทธิสาร,13.789019099999999,100.57414770000001
Ratchadaphisek,สถานีรัชดาภิเษก,13.799104999999999,100.57468409999998
Lat Phrao,สถานีลาดพร้าว,13.806664000000001,100.5725598
Phahon Yothin,สถานีพหลโยธิน,13.8129049,100.5613803
Chatuchak Park,สถานีสวนจตุจักร,13.802600699999998,100.55380579999999
Kumphaeng Phet,สถานีกำแพงเพชร,13.7976359,100.54769040000001
Bang Sue,สถานีบางซื่อ,13.8029397,100.5398691
Bang Son,สถานีบางซ่อน,13.820004999999998,100.5325064
Wong Sawang,สถานีวงศ์สว่าง,13.829839600000001,100.5265975
Yaek Tiwanon,สถานีแยกติวานนท์,13.839600899999999,100.5151391
Ministry of Public Health,สถานีกระทรวงสาธารณสุข,13.8483826,100.51474209999999
Nonthaburi Civic Center,สถานีศูนย์ราชการนนทุบรี,13.8602055,100.5133796
Si Phonsawan,ศรีพรสวรรค์,13.866341,100.493572
Yaek Nonthaburi 1,สถานีแยกนนทบุรี 1,13.8659969,100.4942286
Phra Nang Klao Bridge,สถานีสะพานพระนั่งเกล้า,13.8704075,100.4803311
Saima,สถานีไทรม้า,13.8705384,100.4667628
Tha It,สถานีท่าอิฐ,13.8748298,100.4559642
Bang Rak Yai,สถานีบางรักใหญ่,13.876652499999999,100.4450047
Bang Phlu,สถานีบางพลู,13.875777599999997,100.4337931
Sam Yaek Bang Yai,สถานีสามแยกบางใหญ่,13.874704800000002,100.4193413
Talad Bang Yai,สถานีตลาดบางใหญ่,13.8809229,100.4092348
Khlong Bang Phai,สถานีคลองบางไผ่,13.892515,100.40821020000001
Tao Poon,สถานีเตาปูน,13.806223699999999,100.5308543
,สถานีสุวรรณภูมิ,13.7139128,100.75647359999999
,สถานีลาดกระบัง,13.7276915,100.74857709999999
,สถานีทับช้าง,13.7329026,100.69080229999999
,สถานีหัวหมาก,13.7379573,100.64534429999999
,สถานีรามคำแหง,13.7429842,100.6000447
,สถานีมักกะสัน,13.750817600000001,100.5614662
,สถานีราชปรารภ,13.755059,100.54230190000001
,สถานีพญาไท,13.756716,100.5349499
,สถานีราชวิถี,13.771247699999998,100.52645
,สถานีบางซื่อ,13.8033196,100.5394506
,สถานีบางเขน,13.8484503,100.5612141
,สถานีหลักสี่,13.8832742,100.58051800000001
,สถานีดอนเมือง,13.919831900000002,100.60076590000001
,สถานีประตูน้ำ,13.7512448,100.5372405
,สถานีประดิษฐ์มนูธรรม,13.7515268,100.59337409999999
